127.0.0.1 - - [20/Nov/2023:10:15:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:15:21 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:15:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:40:35 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:40:59 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:02:07 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:02:58 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:02:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:03:28 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:08:03 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:11:41 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:11:59 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 500 2376
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:12:14 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:03 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 500 2403
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:11 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 500 2403
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:16 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 500 2403
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:16 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:18 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:24 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:14:44 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:38:04 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:40:31 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:40:32 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:41:06 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 500 2322
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:41:13 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:45:24 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:45:25 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:45:44 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:46:22 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:47:32 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:48:12 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:56:42 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:57:52 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:57:55 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:58:00 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:58:17 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:08 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:08 +0900] "GET /jwbook/resource/images/time.jpg HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:17 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:00:17 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 200 25300
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:25 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:25 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:47 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:01:47 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
